Week,Sales,Isolation,Rolling Mean,Rolling Std,Z-Score,Z_Anomaly
2015-01-04,304.508,True,,,,False
2015-01-11,4619.108,False,,,,False
2015-01-18,4130.533,False,,,,False
2015-01-25,3092.544,False,,,,False
2015-02-01,2527.9139999999998,False,,,,False
2015-02-08,968.534,True,,,,False
2015-02-15,2771.054,False,,,,False
2015-02-22,224.912,True,2329.888375,1676.9321203267027,-1.255254371649763,False
2015-03-01,2289.643,False,2578.03025,1468.3113847949624,-0.19640741942504975,False
2015-03-08,4030.7279999999996,False,2504.48275,1362.3837697364709,1.120275566916967,False
2015-03-15,4139.602,False,2505.616375,1363.9329695322733,1.197995547801982,False
2015-03-22,37703.665,True,6832.0064999999995,12546.13840919608,2.460650240983446,True
2015-03-29,3998.777,False,7015.864375000001,12484.680156578495,-0.24166316935321894,False
2015-04-05,10363.902,False,8190.285375000001,12274.687683408509,0.17708121632602028,False
2015-04-12,8418.293,False,8896.19025,12079.340150600869,-0.03956319170101586,False
2015-04-19,2198.37,False,9142.872500000001,11895.714245475698,-0.5837818862067242,False
2015-04-26,5660.104,False,9564.180125,11675.976819313059,-0.3343682661772955,False
2015-05-03,4974.812,False,9682.190625000001,11616.680361434514,-0.40522580277130904,False
2015-05-10,6332.464,False,9956.298375,11492.420717682602,-0.31532385247820366,False
2015-05-17,3967.87,False,5739.324,2624.393111086554,-0.6749956751969145,False
2015-05-24,6241.9839999999995,False,6019.724875,2529.998317938877,0.08784951492816337,False
2015-05-31,6523.233,False,5539.64125,1864.8647466864502,0.52743329067037,False
2015-06-07,8569.948,False,5558.5981249999995,1898.7699725452642,1.5859477022186868,False
2015-06-14,8683.282,False,6369.212125,1623.6223906153625,1.4252512704773386,False
2015-06-21,11139.4446,False,7054.1296999999995,2297.5898716265206,1.778087094851226,False
2015-06-28,5143.957,False,7075.272825,2276.4024223642027,-0.8484070329683595,False
2015-07-05,3158.3999999999996,False,6678.514825,2667.391674384571,-1.319684266395625,False
2015-07-12,6290.629,False,6968.8597,2447.5441711017597,-0.27710662304194295,False
2015-07-19,1387.6860000000001,True,6362.07245,3153.431979349304,-1.5774516408076895,False
2015-07-26,21590.079999999998,False,8245.428324999999,6246.12953462822,2.136467327649537,True
2015-08-02,3255.66,False,7581.142325,6484.720579318167,-0.6670267858256431,False
2015-08-09,13454.076000000001,False,8177.491575,6811.678895279398,0.7746378691832873,False
2015-08-16,3187.942,False,7183.55375,6897.327905439835,-0.5792985058530726,False
2015-08-23,4366.4980000000005,False,7086.371375,6935.542192524634,-0.39216449118160834,False
2015-08-30,4901.8925,False,7304.3079375,6820.926168787315,-0.3522124969617026,False
2015-09-06,4234.85,False,7047.3355625,6902.804660115426,-0.40744098971112575,False
2015-09-13,29959.137,True,10618.7669375,10172.926399028975,1.9011609151469016,False
2015-09-20,20685.832000000002,False,10505.7359375,10037.735240025591,1.0141825640017625,False
2015-09-27,17249.3338,False,12254.9451625,9810.544975185474,0.5090837104495898,False
2015-10-04,11781.179,False,12045.8330375,9799.156418033932,-0.02700783885977602,False
2015-10-11,4751.272,False,12241.249287499999,9611.05875353377,-0.7793082405979572,False
2015-10-18,10468.226,False,13003.965287500001,9126.767309966666,-0.2778354264308796,False
2015-10-25,3882.9900000000002,False,12876.602475,9262.088681170813,-0.9710134273798731,False
2015-11-01,14794.436,False,14196.550725,8582.075171077118,0.06966674878530121,False
2015-11-08,14934.875,False,12318.517974999999,5848.492360939624,0.447355807878606,False
2015-11-15,15130.8292,False,11624.142625,4978.151316238678,0.7044154249713592,False
2015-11-22,26793.6235,False,12817.178837500001,7176.923582054843,1.947414446134923,False
2015-11-29,16191.363,False,13368.4518375,7254.9316473448225,0.3891023788670889,False
2015-12-06,13185.832,False,14422.7718375,6384.390213722733,-0.1937443978347842,False
2015-12-13,8971.064499999999,False,14235.62665,6536.988847548101,-0.8053497218332624,False
2015-12-20,23416.453,False,16677.309525,5713.91193387011,1.1794272563167574,False
2015-12-27,10632.52,False,16157.070025,6087.112870737474,-0.9075813349146397,False
